yearMonth,track,type
11202,HY,31
11202,HY,21
11202,HY,26
11204,KY,31
11204,KY,21
11204,KY,26
11206,MY,31
11206,MY,21
11206,MY,26
11208,PY,31
11208,PY,21
11208,PY,26
11210,RY,31
11210,RY,21
11210,RY,26
11212,TY,31
11212,TY,21
11212,TY,26
11202,JA,32
11202,JB,32
11202,JC,32
11202,JD,32
11202,JA,22
11202,JB,22
11202,JC,22
11202,JD,22
11202,JA,27
11202,JB,27
11202,JC,27
11202,JD,27
11204,LA,32
11204,LB,32
11204,LC,32
11204,LD,32
11204,LA,22
11204,LB,22
11204,LC,22
11204,LD,22
11204,LA,27
11204,LB,27
11204,LC,27
11204,LD,27
11206,NA,32
11206,NB,32
11206,NC,32
11206,ND,32
11206,NA,22
11206,NB,22
11206,NC,22
11206,ND,22
11206,NA,27
11206,NB,27
11206,NC,27
11206,ND,27
11208,QA,32
11208,QB,32
11208,QC,32
11208,QD,32
11208,QA,22
11208,QB,22
11208,QC,22
11208,QD,22
11208,QA,27
11208,QB,27
11208,QC,27
11208,QD,27
11210,SA,32
11210,SB,32
11210,SC,32
11210,SD,32
11210,SA,22
11210,SB,22
11210,SC,22
11210,SD,22
11210,SA,27
11210,SB,27
11210,SC,27
11210,SD,27
11212,UA,32
11212,UB,32
11212,UC,32
11212,UD,32
11212,UA,22
11212,UB,22
11212,UC,22
11212,UD,22
11212,UA,27
11212,UB,27
11212,UC,27
11212,UD,27
11202,JA,37
11202,KX,37
11204,LA,37
11204,MX,37
11206,NA,37
11206,PX,37
11208,QA,37
11208,RX,37
11210,SA,37
11210,TX,37
11212,UA,37
11212,VX,37
11202,HZ,35
11202,JE,35
11202,JF,35
11202,JG,35
11202,JH,35
11202,JJ,35
11202,JK,35
11202,JL,35
11202,JM,35
11202,JN,35
11202,JP,35
11202,JQ,35
11202,JR,35
11202,JS,35
11202,JT,35
11202,JU,35
11202,JV,35
11202,JW,35
11202,JX,35
11202,JY,35
11202,JZ,35
11202,KA,35
11202,KB,35
11202,KC,35
